antecedent,consequent,lift,confidence,support,netconf,amplitude,coverage
"GOOGL [-16.83, 12.52]%, week_number([827, 1104]), WMT [-0.99, 12.04]%, DIA [-18.87, 12.76]%, MSFT [-2.66, 15.65]%, HYG [-11.55, 2.74]%, UUP [-3.39, 3.26]%, XLK [-9.90, 5.69]%, NVDA [-11.12, 8.06]%",month(12),1.309,0.109,0.013,0.029,0.53,0.117
"GOOGL [-16.30, 4.97]%, DIA [-15.42, 15.11]%, EFX [-29.42, -1.88]%, month([10, 12]), MSFT [-7.98, 13.14]%, SPY [-7.13, 17.92]%, UUP [-2.35, 5.26]%, XLK [-17.04, 12.90]%","week_number([681, 839])",1.882,0.255,0.01,0.125,0.432,0.04
"EEM [-25.71, 28.15]%, WMT [-3.47, 11.68]%, GOOGL [-1.95, 4.52]%, HYG [-11.54, 10.98]%, DIS [-4.76, 17.80]%, MSFT [-6.90, 4.05]%, XLK [-14.53, 15.47]%",month(12),1.209,0.101,0.047,0.033,0.457,0.464
"DIA [-17.61, 15.11]%, GOOGL [-15.72, 11.77]%, MU [-41.05, 33.33]%, EFX [-25.23, 20.81]%, DIS [-6.91, 17.85]%, IYR [-17.03, 30.55]%, MSFT [-6.61, 5.51]%, XLK [-14.61, 15.47]%, HYG [-11.20, 11.47]%, SPY [-1.89, 17.39]%, UUP [-0.38, 5.18]%","week_number([973, 1172])",1.254,0.214,0.096,0.079,0.326,0.451
"GOOGL [-16.83, 10.52]%, DIA [-4.90, 1.18]%","XLK [-12.49, 1.86]%",1.202,0.908,0.601,0.45,0.596,0.661
"GOOGL [-0.40, 12.25]%","XLK [0.22, 7.57]%",1.33,0.716,0.426,0.438,0.75,0.595
"GOOGL [-3.36, 8.64]%, SPY [-0.21, 6.36]%, week_number([862, 1172])","XLK [-1.62, 9.61]%",1.231,0.994,0.151,0.22,0.738,0.152
"DIA [-10.82, 15.11]%, GOOGL [-16.83, 2.80]%, SPY [-11.86, 1.39]%, XLF [-30.17, 6.11]%, MSFT [-7.42, 6.45]%","XLK [-16.60, 1.78]%",1.268,0.949,0.569,0.501,0.482,0.6
"DIA [-13.75, 4.98]%, GOOGL [-3.51, 6.50]%, SHY [-0.70, 1.35]%, SPY [-3.25, 1.36]%, XLF [-22.81, 31.52]%, MSFT [-9.40, 4.64]%","XLK [-17.04, 1.82]%",1.241,0.937,0.51,0.4,0.475,0.544
"IWM [-21.51, 21.65]%, GOOGL [-7.60, 4.05]%, SPY [-2.82, 8.06]%, DIA [-0.94, 5.87]%, GLD [-11.38, 13.30]%, BA [-5.54, 78.22]%","XLK [-1.07, 6.77]%",1.211,0.896,0.52,0.372,0.488,0.581
"GOOGL [-12.96, 2.87]%, HYG [-11.57, 11.47]%, DIA [-7.35, 15.10]%, SPY [-5.01, 1.49]%","XLK [-14.45, 1.68]%",1.267,0.921,0.507,0.431,0.466,0.55
"GOOGL [-14.92, -1.41]%, SPY [-3.25, 3.80]%","XLK [-17.04, 1.71]%",1.245,0.919,0.202,0.232,0.647,0.22
"GOOGL [-12.50, -1.97]%, month([11, 12]), SPY [-3.19, 6.06]%","XLK [-9.33, 0.78]%",1.554,0.868,0.028,0.32,0.78,0.032
"DIA [-3.96, 8.01]%, GOOGL [-16.53, 10.56]%, IWM [-23.22, -0.27]%","XLK [-11.65, 1.19]%",1.392,0.905,0.317,0.393,0.541,0.351
"GOOGL [-16.83, 1.97]%, IWM [-19.93, 12.73]%, XLF [-6.13, 30.66]%, MSFT [-13.52, 14.06]%, HYG [-11.57, 11.47]%, SPY [-6.39, 1.98]%","XLK [-6.49, 1.81]%",1.232,0.909,0.478,0.361,0.427,0.526
"GOOGL [-8.40, 11.60]%, EEM [-22.31, 24.95]%, SPY [1.72, 9.10]%","XLK [-0.77, 8.66]%",1.391,0.991,0.185,0.342,0.55,0.187
"GOOGL [-13.22, 5.57]%, SPY [-1.06, 0.71]%, WMT [-18.65, 15.22]%, XLF [-9.60, 1.37]%, SAP [-20.57, 13.12]%, MSFT [-10.00, 16.40]%","XLK [-16.94, 2.25]%",1.204,0.982,0.28,0.233,0.48,0.285
"GOOGL [-16.83, 3.11]%, DIS [-13.34, 9.66]%, MU [-14.22, 41.42]%, QQQ [-16.20, 1.32]%, DIA [-6.86, 15.11]%, SPY [-3.10, -0.28]%, XLE [-20.16, 15.45]%, MSFT [-13.77, 6.14]%","XLK [-17.04, 2.48]%",1.201,1.0,0.246,0.222,0.48,0.246
"DIA [-13.08, 9.36]%, GOOGL [-9.29, 4.78]%, HYG [-11.59, 11.47]%, SPY [-1.50, 0.12]%","XLK [-12.46, 2.03]%",1.266,0.987,0.201,0.261,0.51,0.204
"DIA [-8.96, 3.82]%, GOOGL [-16.23, 0.88]%, month(12), SPY [-11.71, 3.33]%","XLK [-13.43, 1.00]%",1.392,0.849,0.038,0.25,0.68,0.045
"DIA [-10.33, 8.44]%, GOOGL [-7.57, -1.43]%, SPY [-2.70, 4.79]%, WMT [-16.95, 13.90]%, week_number([1, 330])","XLK [-11.20, 1.82]%",1.283,0.966,0.048,0.224,0.59,0.049
"GOOGL [-16.83, 17.06]%, DIA [-5.18, 6.77]%, SPY [-0.94, 0.15]%, MSFT [-10.55, 4.47]%, GLD [2.67, 11.83]%","XLK [-17.04, 1.88]%",1.308,1.0,0.021,0.241,0.582,0.021
"IWM [-2.36, 4.57]%, GOOGL [-16.81, 1.59]%, DIA [-15.59, 13.77]%, SAP [-16.74, 22.44]%, XLE [-0.81, 0.96]%","XLK [-2.36, 2.07]%",1.302,0.867,0.1,0.227,0.61,0.115
"GOOGL [-16.83, -2.02]%, XOM [-4.55, 18.07]%","XLK [-14.83, 0.86]%",1.491,0.861,0.164,0.35,0.561,0.19
"GOOGL [-16.83, -7.25]%, WMT [-17.38, 2.21]%, DIA [-7.82, 6.29]%","XLK [-11.05, 1.92]%",1.216,0.929,0.022,0.169,0.603,0.024
"EEM [-25.71, 10.88]%, GOOGL [-16.82, 13.60]%, IWM [2.34, 7.22]%, DIA [-9.12, 12.73]%, MSFT [-11.16, 2.21]%","XLK [-1.79, 3.54]%",1.261,0.93,0.09,0.213,0.559,0.097
"DIS [-3.30, 12.60]%, SHY [-0.36, 1.25]%, WMT [-13.83, -1.20]%, month([10, 12]), GOOGL [-16.83, 6.24]%, SPY [-6.36, 7.71]%, NVDA [-21.30, 15.83]%, DIA [-7.62, 5.05]%, MSFT [-8.79, -1.22]%","XLK [-16.56, 0.69]%",1.725,0.938,0.013,0.399,0.583,0.014
"GOOGL [-16.83, 24.78]%, IWM [4.72, 20.31]%, DIA [-3.92, 8.91]%, XLK [-4.98, 12.80]%, UUP [-2.35, 4.61]%, MSFT [-3.98, 3.51]%","XLE [-1.60, 10.93]%",1.368,1.0,0.016,0.273,0.539,0.016
"GOOGL [-15.61, -7.18]%, DIA [-16.17, 4.26]%, SPY [-7.79, 5.03]%, XLF [-6.42, 30.39]%, MSFT [-7.70, 3.11]%","XLK [-13.66, 1.89]%",1.202,0.917,0.019,0.157,0.579,0.02
"GOOGL [-4.28, 15.02]%, XLF [-0.27, 21.38]%","XLK [1.36, 8.20]%",1.5,0.481,0.262,0.352,0.674,0.544
"NVDA [-17.84, 34.80]%, MU [-37.17, 33.87]%, HYG [-11.62, 11.47]%, XLE [-26.59, 27.88]%, GOOGL [-5.34, 1.34]%","XLK [-10.22, 1.61]%",1.213,0.869,0.406,0.287,0.343,0.468
"SPY [-7.89, 8.48]%, month([11, 12]), GOOGL [-16.83, 1.60]%, WMT [0.03, 10.26]%, XOM [-0.78, 7.67]%, XLE [-9.64, 27.88]%, UUP [-4.71, 2.60]%, DIA [-9.75, 10.22]%, MSFT [-2.99, 4.64]%, NVDA [-15.48, 36.33]%","XLK [-8.27, 1.32]%",1.239,0.821,0.02,0.162,0.588,0.024
"GOOGL [-14.59, 16.62]%, IWM [-19.32, 7.96]%, DIA [-6.64, 11.61]%, SPY [-9.49, -0.09]%, XLF [-30.17, -5.70]%, MSFT [-5.18, 15.72]%","XLK [-17.04, 1.65]%",1.376,1.0,0.01,0.276,0.478,0.01
"GOOGL [-6.62, 5.63]%, EEM [-25.71, 2.39]%, DIA [-5.09, 8.03]%, SPY [-7.21, 7.41]%, MSFT [-6.79, 6.58]%","XLK [-2.86, 0.23]%",1.214,0.425,0.284,0.226,0.657,0.669
"GOOGL [-12.57, 5.68]%, XOM [4.24, 17.33]%, XLE [-19.79, 14.17]%, XLK [-17.04, 3.15]%","MSFT [-8.44, 1.33]%",1.221,0.767,0.039,0.146,0.571,0.051
"WMT [-17.03, 15.32]%, XOM [-21.06, 18.07]%, GOOGL [-16.83, 24.37]%, DIA [-18.87, 15.11]%, XLE [-25.56, 27.88]%, SPY [-9.67, 0.59]%, HYG [-11.65, 11.47]%, MSFT [-14.98, 16.29]%","XLK [-15.90, 2.13]%",1.232,0.987,0.45,0.341,0.185,0.456
"AAPL [8.15, 14.12]%, SHY [-0.92, 1.35]%, GOOGL [-11.35, 6.43]%, EEM [-25.71, 19.79]%","XLK [-1.50, 10.75]%",1.203,0.968,0.026,0.168,0.451,0.026
"GOOGL [-16.83, 1.66]%, DIA [-17.75, 13.46]%, IWM [-18.35, 19.75]%, SPY [-8.68, 9.24]%, XLE [-32.97, -3.07]%, XLF [-30.17, -2.79]%, MSFT [-14.15, 7.27]%","XLK [-10.93, -0.60]%",3.23,0.967,0.05,0.704,0.436,0.052
"GOOGL [-16.83, -7.40]%, DIA [-16.61, 1.85]%, XLE [-34.55, 15.59]%, SPY [-10.44, 11.04]%","XLK [-16.06, 1.42]%",1.367,0.935,0.025,0.258,0.466,0.026
"HYG [-11.65, 11.47]%, WMT [-1.95, 1.69]%, month(12), SPY [-6.75, 11.38]%, DIA [-8.48, 7.77]%, UUP [-1.64, 6.24]%, NVDA [-30.11, 27.94]%, XLE [-6.51, 1.58]%, MSFT [-5.17, 3.67]%","XLK [-8.27, 0.51]%",1.414,0.711,0.023,0.215,0.572,0.032
"GOOGL [-14.98, -0.56]%, XLF [-3.95, 23.67]%, XOM [-1.79, 7.15]%, DIA [-18.87, 3.44]%, MSFT [-8.33, 2.95]%, HYG [-11.65, 11.47]%, SPY [-3.95, 8.67]%","XLK [-17.04, 0.26]%",1.52,0.699,0.117,0.287,0.521,0.167
"SHY [-0.74, 1.11]%, SPY [-6.56, 3.03]%, month([10, 12]), GOOGL [-16.83, 0.49]%, DIA [-9.31, 15.11]%, UUP [-2.09, 4.98]%, XLE [-14.00, -3.22]%, XLK [-13.59, 1.19]%, NVDA [-20.29, 36.33]%","MSFT [-7.49, 1.28]%",1.281,0.783,0.015,0.175,0.532,0.02
"DIA [-8.26, 12.79]%, EEM [-25.71, 15.07]%, GOOGL [-16.83, 18.14]%, IWM [-24.00, 20.60]%, AAPL [-13.99, 11.54]%, XLF [-20.16, -2.59]%, TLT [-5.66, 8.43]%, XLK [-14.35, 11.93]%, MSFT [-12.64, 11.77]%","SPY [-11.04, 1.42]%",1.314,0.979,0.119,0.267,0.337,0.122
"DIA [-14.26, 15.11]%, EEM [-25.71, 28.15]%, GOOGL [-16.83, -3.42]%, XLE [-26.79, 7.53]%, SPY [-12.30, 3.38]%, UUP [-0.57, 5.36]%, MSFT [-13.62, 14.23]%","XLK [-16.65, 1.69]%",1.305,0.958,0.078,0.244,0.368,0.081
"WMT [-16.61, -0.36]%, DIA [-12.16, 12.04]%, GOOGL [-16.83, 29.40]%, SPY [-4.56, -0.24]%, XLF [-1.33, 21.79]%","XLK [-12.06, -0.01]%",1.949,0.773,0.049,0.402,0.493,0.064
"GOOGL [-5.60, 13.95]%, IWM [-24.00, 7.13]%, SPY [-1.02, -0.81]%, XLF [-8.37, 4.18]%, XLK [-1.67, 10.24]%","week_number([338, 825])",1.281,0.533,0.014,0.12,0.651,0.026
"DIA [-10.75, 15.11]%, DIS [-8.59, 15.74]%, GOOGL [-16.83, 6.44]%, NVDA [-33.62, -6.92]%, WMT [-4.50, 10.68]%, XLE [-7.33, 3.47]%, IWM [-18.83, 18.20]%, MSFT [-12.37, 3.29]%","XLK [-9.86, -1.00]%",2.968,0.734,0.04,0.515,0.512,0.055
"GOOGL [-16.83, 21.46]%, IYR [-21.66, 33.08]%, SHY [-0.52, 1.35]%, WMT [-9.84, 12.50]%, QQQ [-14.01, -0.82]%, MU [-43.61, 36.15]%, SPY [-6.00, 2.78]%, HYG [-11.59, 9.78]%, DIA [-10.70, 8.62]%, XLE [3.03, 6.83]%, SAP [-25.82, 17.75]%","XLK [-17.04, 1.30]%",1.499,1.0,0.015,0.338,0.358,0.015
"GOOGL [-7.10, 26.78]%, DIA [-15.93, 7.45]%, TLT [-6.50, -2.95]%, XLK [-7.11, 10.92]%","week_number([337, 1082])",1.21,0.77,0.04,0.141,0.439,0.052
"DIA [-8.21, 4.61]%, GOOGL [-16.83, 13.02]%, DIS [-6.58, 15.68]%, SPY [-7.48, 6.36]%, IYR [-17.64, 33.08]%, TLT [-3.40, -1.21]%, SAP [-11.20, -1.34]%","XLK [-16.08, -0.30]%",1.635,0.579,0.028,0.236,0.559,0.049
"GOOGL [-4.30, 13.59]%, WMT [-12.99, 15.32]%, IWM [-24.00, -0.60]%, DIA [-12.58, 7.61]%, XLK [-17.04, 4.54]%","MSFT [-2.90, 1.02]%",1.212,0.56,0.156,0.136,0.485,0.279
"DIA [-7.42, 15.11]%, IWM [-7.01, 21.65]%, GOOGL [-9.90, 17.45]%, WMT [-17.42, 9.21]%, SPY [-9.99, 5.43]%, AAPL [-11.91, 13.63]%, NVDA [-33.72, 36.33]%, SAP [-25.88, -3.06]%","XLK [-14.26, 0.31]%",1.693,0.786,0.094,0.365,0.383,0.119
"WMT [-17.64, 10.46]%, DIA [-18.87, 10.35]%, GOOGL [-11.09, 8.27]%, month([11, 12]), XLK [-5.68, 7.68]%, HYG [-11.62, 11.47]%, AAPL [-0.60, 16.80]%","MSFT [0.24, 8.99]%",1.313,0.681,0.053,0.176,0.468,0.078
"GOOGL [1.69, 16.62]%, WMT [-13.03, 1.88]%, DIA [-10.69, 15.11]%, MSFT [-6.90, 9.73]%, NVDA [-29.58, 33.66]%, UUP [-3.48, 4.69]%, XLK [-0.46, 1.51]%","XLE [-0.18, 3.30]%",1.34,0.556,0.038,0.151,0.53,0.069
"DIA [-11.90, 10.52]%, MU [-36.04, 41.42]%, GOOGL [-16.83, 10.98]%, AAPL [6.42, 18.11]%, XLE [-34.55, 10.89]%, MSFT [0.29, 10.42]%, XLK [-9.62, 6.88]%","SPY [0.24, 2.86]%",1.288,0.6,0.028,0.141,0.496,0.047
"EEM [-18.95, 27.63]%, GOOGL [-16.80, 1.34]%, SPY [-9.22, 8.86]%, month([11, 12]), SHY [-0.56, 0.09]%, WMT [-1.38, 2.10]%, DIA [-10.69, 15.11]%, XLE [-11.28, 27.88]%, UUP [-2.45, 6.24]%","MSFT [-3.24, 0.21]%",1.274,0.444,0.02,0.1,0.549,0.046
"MU [0.14, 29.55]%, GOOGL [-16.83, 29.40]%, QQQ [-4.56, 14.83]%, WMT [-15.88, -1.20]%, DIS [-8.93, 18.19]%, CPB [-1.15, 20.14]%, SPY [0.45, 1.71]%, DIA [-13.95, 15.11]%","XLK [1.02, 3.41]%",1.955,0.556,0.013,0.278,0.485,0.023
"GOOGL [-15.38, 4.12]%, EEM [-25.71, 16.36]%, DIA [-5.56, 1.42]%, XLK [-11.23, 8.97]%","XLF [-6.24, -1.83]%",1.385,0.234,0.152,0.185,0.58,0.649
"GOOGL [-16.83, 3.85]%, XOM [-0.64, 9.66]%, XLK [-12.31, 10.13]%, SPY [-1.49, 6.14]%","XLF [2.48, 26.93]%",1.207,0.212,0.099,0.068,0.605,0.467
"QQQ [-16.20, 14.83]%, WMT [-1.21, 5.32]%, CPB [-0.51, 10.64]%, month([11, 12]), DIA [-12.00, 15.11]%, SPY [-0.21, 5.61]%, GOOGL [-16.13, 29.40]%","XOM [1.56, 18.07]%",1.302,0.421,0.027,0.104,0.509,0.065
"GOOGL [-13.25, 10.77]%, DIA [-12.85, 6.56]%, month([11, 12]), WMT [-18.72, 15.32]%, week_number([121, 457]), XLE [-15.90, 6.31]%","MSFT [-6.85, -1.57]%",1.419,0.298,0.012,0.092,0.576,0.04
"HYG [-11.63, 11.47]%, EEM [-17.26, 17.90]%, WMT [-17.64, -1.51]%, XLE [-6.92, 14.92]%, JNJ [-15.06, 10.28]%, DIA [-10.67, 10.31]%","XLK [-16.14, 0.19]%",1.321,0.577,0.09,0.166,0.345,0.155
"GOOGL [-15.22, 0.91]%, WMT [-14.72, 6.52]%, IWM [-2.69, 8.85]%, DIA [-3.52, 11.05]%, UUP [-1.16, 6.24]%, XLK [-11.51, 10.08]%","week_number([562, 783])",1.293,0.245,0.081,0.083,0.547,0.331
"GOOGL [-16.83, 23.98]%, MU [-7.35, 41.42]%, DIS [-5.85, 16.38]%, QQQ [-16.20, 0.42]%, CPB [-5.83, 10.04]%, MSFT [-13.55, 3.01]%","XLF [-28.98, -2.38]%",1.221,0.176,0.059,0.048,0.442,0.334
"GOOGL [-12.56, 26.77]%, SHY [-0.92, 1.35]%, TLT [2.73, 7.88]%, week_number([7, 1172]), MSFT [-11.33, 5.23]%, HYG [-11.63, 11.12]%, UUP [-2.29, 4.04]%","XLK [-4.88, -1.00]%",1.75,0.379,0.019,0.171,0.338,0.049
"DIA [-18.87, 12.14]%, GOOGL [-3.79, -1.36]%, IWM [-15.77, 8.82]%, AAPL [-23.79, 13.17]%, NVDA [-16.95, 1.17]%, XLK [-5.80, 15.47]%, XLE [-15.92, 27.88]%","XLF [-30.17, -2.89]%",1.551,0.176,0.019,0.07,0.447,0.107
"DIA [-2.14, 9.59]%, IWM [-24.00, 21.65]%, GOOGL [-9.23, 29.23]%, IYR [-0.22, 33.08]%, WMT [-17.89, 15.32]%, HYG [-11.58, 11.47]%, XLK [-9.46, 13.35]%","XLE [2.84, 16.70]%",1.203,0.241,0.117,0.079,0.303,0.485
"MU [-27.90, 24.94]%, GOOGL [-16.83, 10.30]%, IWM [-24.00, 8.78]%, EEM [-22.86, 26.09]%, DIA [-10.73, 2.40]%, HYG [-11.65, 11.32]%, MSFT [-13.11, 9.38]%, XLK [-14.23, 6.58]%","XLF [-11.72, -4.76]%",1.319,0.046,0.034,0.043,0.376,0.74
