antecedent;consequent;lift;confidence;support;netconf;amplitude;coverage
KO [-6.38, 6.73]%, XLF [-0.89, 21.47]%;INTC [2.64, 12.04]%;1.299;0.293;0.201;0.214;0.692;0.685
EEM [-7.54, -3.77]%, XLK [-3.30, -0.42]%, HYG [-11.65, 9.50]%, SPY [-9.75, 17.92]%;INTC [-29.00, -0.08]%;2.03;0.929;0.022;0.483;0.553;0.024
month([1, 3]), XLK [-6.42, -0.68]%;INTC [-29.00, -2.45]%;2.446;0.582;0.039;0.369;0.755;0.067
SPY [-14.89, 1.75]%, BA [-27.02, 67.32]%, IYR [-12.50, 10.96]%;INTC [-4.61, -4.27]%;1.245;0.018;0.015;0.018;0.606;0.803
SPY [-14.89, 1.75]%, BA [-27.02, 67.32]%, IYR [-12.50, 10.96]%;INTC [-4.61, -4.27]%;1.245;0.018;0.015;0.018;0.606;0.803
CLX [-6.01, 10.07]%, GOOGL [5.09, 20.05]%, IYR [-16.73, 33.08]%;INTC [4.74, 41.48]%;2.764;0.349;0.032;0.245;0.481;0.09
SAP [-17.06, 0.78]%, BA [-25.49, 43.83]%, IYR [-11.46, 4.60]%;INTC [-9.06, -4.18]%;1.462;0.142;0.078;0.1;0.695;0.552
JPM [-0.23, 2.45]%, DIS [3.24, 6.90]%, IYR [-7.81, 10.78]%;IWM [-0.71, 3.53]%;1.398;0.778;0.03;0.23;0.873;0.038
JPM [-0.23, 2.45]%, DIS [3.24, 6.90]%, IYR [-7.81, 10.78]%;IWM [-0.71, 3.53]%;1.398;0.778;0.03;0.23;0.873;0.038
NVDA [-1.03, 2.54]%, UUP [-3.99, 3.14]%, SPY [-18.91, 11.11]%, XLE [-34.55, 8.76]%;IWM [-4.61, 2.42]%;1.131;0.855;0.186;0.126;0.527;0.218
JPM [-23.47, -0.18]%, XLE [-3.19, -1.00]%, EFX [-25.74, 5.93]%, IYR [-10.78, 7.90]%;IWM [-4.64, 1.76]%;1.411;0.945;0.103;0.309;0.727;0.109
JPM [-23.47, -0.18]%, XLE [-3.19, -1.00]%, EFX [-25.74, 5.93]%, IYR [-10.78, 7.90]%;IWM [-4.64, 1.76]%;1.411;0.945;0.103;0.309;0.727;0.109
AMZN [-6.57, 18.67]%, INTC [-0.75, 28.49]%;IWM [4.81, 10.24]%;1.596;0.064;0.038;0.06;0.688;0.6
UUP [-1.30, 0.19]%;IYR [-0.00, 7.07]%;1.129;0.615;0.242;0.116;0.877;0.394
JPM [2.36, 39.76]%;IYR [-0.03, 12.46]%;1.224;0.683;0.166;0.165;0.66;0.242
XLE [1.68, 9.08]%;IYR [-0.03, 7.23]%;1.177;0.645;0.209;0.143;0.884;0.324
EEM [2.65, 25.80]%, BA [-32.96, 77.25]%, XLE [-8.37, 7.94]%, XLK [-4.76, 0.38]%;IYR [0.06, 18.45]%;1.102;0.6;0.013;0.057;0.597;0.021
JPM [0.05, 10.66]%;IYR [0.06, 3.44]%;1.137;0.524;0.281;0.136;0.905;0.536
JPM [0.05, 10.66]%;IYR [0.06, 3.44]%;1.137;0.524;0.281;0.136;0.905;0.536
SPY [2.27, 3.65]%;IYR [0.09, 11.51]%;1.66;0.894;0.072;0.386;0.892;0.08
XLK [2.99, 15.38]%, SPY [3.60, 11.99]%, XLE [-13.67, 27.88]%;IYR [-0.11, 7.91]%;1.345;0.762;0.027;0.203;0.65;0.036
GOOGL [-10.43, 16.42]%, month([2, 10]), SPY [2.53, 5.67]%;IYR [-0.12, 33.08]%;1.567;0.91;0.061;0.353;0.522;0.067
INTC [-0.50, 41.48]%, AMZN [-18.29, 40.17]%;IYR [-0.12, 4.58]%;1.156;0.615;0.362;0.201;0.468;0.588
INTC [-0.50, 41.48]%, AMZN [-18.29, 40.17]%;IYR [-0.12, 4.58]%;1.156;0.615;0.362;0.201;0.468;0.588
JPM [-1.75, 26.91]%, SAP [3.27, 8.63]%, GOOGL [0.95, 5.84]%;IYR [0.15, 11.58]%;1.594;0.849;0.062;0.341;0.81;0.073
CPB [-3.77, 20.14]%, INTC [-2.51, 24.90]%;IYR [0.16, 10.01]%;1.15;0.604;0.433;0.277;0.583;0.716
KO [3.77, 11.49]%, GOOGL [-5.63, 7.47]%, DIS [-18.44, 2.19]%;IYR [-0.17, 12.63]%;1.499;0.875;0.018;0.297;0.691;0.02
INTC [-29.00, 41.48]%, DIS [3.17, 9.95]%, AAPL [1.45, 4.02]%;IYR [-0.19, 5.90]%;1.394;0.795;0.03;0.233;0.67;0.038
AMZN [-22.23, 19.50]%, XLE [-21.23, 13.92]%, WMT [-0.26, 13.38]%, KO [0.49, 3.17]%;IYR [-0.21, 20.13]%;1.341;0.795;0.202;0.271;0.595;0.254
XLV [0.94, 6.94]%, week_number([552, 1103]), MU [-24.66, 41.42]%, CLX [0.70, 20.84]%, INTC [-27.80, 41.48]%;IYR [0.21, 8.35]%;1.56;0.804;0.067;0.315;0.474;0.083
INTC [-1.03, 5.37]%, CPB [2.46, 20.14]%, JPM [-8.69, 39.76]%;IYR [0.22, 5.14]%;1.387;0.683;0.072;0.213;0.67;0.105
SPY [3.69, 9.77]%, MU [-10.99, 41.42]%;IYR [-0.22, 7.57]%;1.265;0.738;0.026;0.16;0.703;0.036
AAPL [6.97, 17.96]%, WMT [3.08, 9.16]%;IYR [0.24, 15.16]%;1.676;0.867;0.011;0.354;0.778;0.013
EFX [-18.02, 10.87]%, DIS [-0.59, 9.25]%;IYR [-0.26, 3.86]%;1.171;0.623;0.369;0.223;0.718;0.591
EFX [-18.02, 10.87]%, DIS [-0.59, 9.25]%;IYR [-0.26, 3.86]%;1.171;0.623;0.369;0.223;0.718;0.591
AAPL [2.25, 7.88]%;IYR [-0.30, 15.65]%;1.174;0.714;0.201;0.147;0.81;0.281
AAPL [-10.04, 18.41]%, month([1, 9]), EFX [4.06, 14.65]%, SPY [-0.37, 17.92]%;IYR [0.30, 33.08]%;1.603;0.814;0.06;0.331;0.479;0.073
EFX [7.69, 19.88]%, JPM [-0.06, 32.52]%;IYR [-0.30, 7.32]%;1.381;0.826;0.016;0.233;0.743;0.02
SAP [-6.79, 5.03]%, XLE [1.00, 3.01]%, XLV [1.93, 4.31]%;IYR [-0.34, 16.64]%;1.212;0.75;0.02;0.135;0.844;0.027
EEM [3.03, 5.67]%, SPY [-3.50, 6.72]%;IYR [-0.36, 7.94]%;1.339;0.817;0.099;0.235;0.848;0.121
AMZN [-8.93, 3.32]%, IWM [1.34, 14.38]%;IYR [-0.37, 12.69]%;1.391;0.86;0.168;0.3;0.772;0.195
XLK [4.49, 5.32]%;IYR [0.37, 8.55]%;1.776;0.862;0.021;0.386;0.923;0.025
SPY [0.76, 4.44]%, INTC [-13.66, 41.48]%, XLV [2.12, 2.91]%, AAPL [-7.14, 2.42]%;IYR [-0.38, 12.66]%;1.417;0.879;0.025;0.266;0.732;0.028
EEM [-2.92, 11.73]%, GOOGL [-4.25, 29.40]%, DIS [-12.01, 8.54]%, MSFT [2.71, 14.35]%;IYR [-0.40, 8.40]%;1.254;0.777;0.137;0.191;0.604;0.176
XLV [3.43, 8.39]%, MU [-9.85, 41.42]%;IYR [0.44, 20.48]%;1.554;0.745;0.032;0.278;0.632;0.044
SAP [-9.67, 17.38]%, week_number([929, 1035]), SHY [0.08, 0.97]%, XLK [2.08, 15.47]%;IYR [-0.45, 5.99]%;1.297;0.8;0.01;0.185;0.696;0.013
GOOGL [4.29, 25.46]%, SPY [-5.37, 8.54]%, UUP [-0.46, 3.61]%, MU [2.25, 36.47]%, week_number([405, 1034]);IYR [-0.47, 13.89]%;1.357;0.87;0.017;0.233;0.606;0.02
IWM [-24.00, 11.72]%, INTC [-1.83, 41.48]%;IYR [0.49, 27.95]%;1.143;0.539;0.387;0.238;0.392;0.717
XLK [0.28, 12.68]%;IYR [-0.49, 8.35]%;1.243;0.791;0.424;0.334;0.74;0.536
KO [0.80, 11.49]%, SAP [-7.87, 22.44]%;IYR [-0.50, 2.46]%;1.128;0.547;0.204;0.099;0.672;0.373
KO [0.80, 11.49]%, SAP [-7.87, 22.44]%;IYR [-0.50, 2.46]%;1.128;0.547;0.204;0.099;0.672;0.373
SPY [0.97, 1.12]%;IYR [-0.50, 6.92]%;1.256;0.795;0.03;0.169;0.94;0.038
MU [13.87, 33.10]%, SPY [-4.33, 3.05]%;IYR [0.55, 8.00]%;1.278;0.577;0.013;0.128;0.821;0.022
SPY [0.51, 1.46]%;IYR [-0.56, 10.78]%;1.197;0.781;0.177;0.166;0.899;0.226
SPY [2.55, 4.78]%;IYR [-0.56, 8.85]%;1.411;0.918;0.076;0.291;0.896;0.083
KO [1.30, 3.28]%, XLK [-2.94, 4.68]%;IYR [-0.58, 21.52]%;1.289;0.85;0.16;0.234;0.786;0.188
SPY [-1.74, 3.72]%;IYR [-0.59, 11.25]%;1.112;0.732;0.602;0.415;0.834;0.823
JPM [-29.95, 27.57]%, SAP [-5.24, 12.56]%, EFX [-16.42, 20.81]%, GOOGL [1.14, 13.00]%;IYR [0.61, 10.54]%;1.32;0.595;0.23;0.235;0.558;0.387
INTC [2.94, 20.54]%;IYR [-0.63, 18.39]%;1.155;0.771;0.166;0.132;0.727;0.216
KO [-19.22, 7.99]%, INTC [2.51, 41.48]%;IYR [0.67, 10.27]%;1.45;0.637;0.16;0.264;0.471;0.252
MU [12.29, 35.95]%;IYR [0.68, 6.28]%;1.364;0.582;0.027;0.163;0.82;0.047
GOOGL [-16.83, 10.73]%, EFX [-10.54, 17.28]%, month([4, 7]), INTC [-0.49, 6.08]%;IYR [0.69, 20.96]%;1.122;0.495;0.082;0.064;0.64;0.166
NVDA [-19.50, 28.14]%, SAP [1.56, 8.56]%;IYR [-0.72, 8.03]%;1.205;0.816;0.26;0.204;0.685;0.319
SAP [5.63, 14.99]%, DIS [-17.27, 20.69]%;IYR [0.73, 14.20]%;1.604;0.692;0.038;0.276;0.562;0.055
XLF [-12.94, 24.07]%, SAP [-0.25, 7.69]%, NVDA [-24.07, 32.80]%;IYR [0.78, 16.40]%;1.274;0.54;0.292;0.253;0.55;0.54
SPY [1.07, 8.58]%, XLF [-4.68, 30.34]%;IYR [0.79, 8.16]%;1.691;0.698;0.231;0.427;0.705;0.331
JPM [-1.30, 9.98]%, DIA [-4.06, 15.11]%;IYR [0.80, 17.36]%;1.173;0.491;0.337;0.23;0.677;0.686
JPM [-11.85, 8.81]%, XLE [-5.98, 27.88]%, XLV [3.11, 8.39]%;IYR [-0.81, 13.12]%;1.325;0.926;0.043;0.238;0.689;0.046
EEM [-0.69, 3.67]%, SPY [-13.45, 6.35]%, XLK [-2.26, 6.74]%, MSFT [-0.29, 1.47]%;IYR [0.81, 3.73]%;1.3;0.451;0.079;0.126;0.801;0.176
EEM [-0.69, 3.67]%, SPY [-13.45, 6.35]%, XLK [-2.26, 6.74]%, MSFT [-0.29, 1.47]%;IYR [0.81, 3.73]%;1.3;0.451;0.079;0.126;0.801;0.176
SPY [0.05, 4.80]%, NVDA [0.66, 9.11]%;IYR [0.81, 9.76]%;1.409;0.584;0.192;0.253;0.871;0.328
CPB [-2.29, 17.86]%, INTC [-7.51, 30.63]%, SPY [-4.12, 7.86]%;IYR [0.82, 7.37]%;1.122;0.456;0.361;0.239;0.609;0.792
IWM [-0.43, 7.66]%, SAP [-16.33, 12.02]%, JPM [-25.34, 19.36]%, INTC [-0.97, 1.11]%;IYR [0.85, 33.08]%;1.285;0.532;0.086;0.141;0.631;0.162
JPM [-4.53, 6.15]%, MSFT [-16.93, 7.89]%;IYR [0.86, 2.05]%;1.125;0.228;0.199;0.196;0.703;0.87
JPM [-4.53, 6.15]%, MSFT [-16.93, 7.89]%;IYR [0.86, 2.05]%;1.125;0.228;0.199;0.196;0.703;0.87
XLF [-28.56, 11.01]%, DIS [-0.91, 7.83]%;IYR [0.86, 3.87]%;1.212;0.413;0.258;0.192;0.7;0.625
XLF [-28.56, 11.01]%, DIS [-0.91, 7.83]%;IYR [0.86, 3.87]%;1.212;0.413;0.258;0.192;0.7;0.625
GOOGL [-5.19, 12.34]%, EEM [-25.15, 10.99]%, SPY [3.78, 8.81]%;IYR [0.86, 33.08]%;1.939;0.794;0.023;0.396;0.578;0.029
XLK [2.67, 7.44]%;IYR [0.86, 9.79]%;1.828;0.739;0.104;0.39;0.857;0.141
DIS [-0.05, 11.43]%, JPM [5.02, 30.11]%;IYR [-0.87, 6.97]%;1.253;0.877;0.061;0.19;0.758;0.069
AAPL [-1.64, 3.13]%, TLT [-0.91, 6.22]%;IYR [-0.88, 15.64]%;1.136;0.811;0.275;0.147;0.748;0.339
SPY [-2.64, 6.95]%, AMZN [-0.88, 36.06]%;IYR [-0.88, 7.33]%;1.147;0.804;0.497;0.269;0.675;0.619
JPM [3.11, 16.17]%;IYR [-0.89, 6.20]%;1.11;0.777;0.134;0.093;0.86;0.172
NVDA [-5.41, 4.07]%, DIS [-0.35, 6.37]%;IYR [0.89, 8.65]%;1.208;0.476;0.161;0.124;0.861;0.339
GOOGL [-7.97, 17.03]%, SAP [0.53, 4.73]%, INTC [-17.16, 8.87]%, month([1, 10]);IYR [0.91, 2.76]%;1.312;0.349;0.099;0.116;0.632;0.283
GOOGL [-7.97, 17.03]%, SAP [0.53, 4.73]%, INTC [-17.16, 8.87]%, month([1, 10]);IYR [0.91, 2.76]%;1.312;0.349;0.099;0.116;0.632;0.283
MSFT [-3.41, 11.94]%, DIS [-1.50, 20.43]%;IYR [0.91, 3.78]%;1.221;0.398;0.27;0.223;0.657;0.677
MSFT [-3.41, 11.94]%, DIS [-1.50, 20.43]%;IYR [0.91, 3.78]%;1.221;0.398;0.27;0.223;0.657;0.677
INTC [-3.24, 4.83]%, IWM [2.13, 15.63]%;IYR [0.92, 8.20]%;1.777;0.687;0.107;0.356;0.825;0.155
XLF [5.70, 25.79]%, EWP [-6.16, 6.30]%;IYR [0.92, 9.06]%;1.71;0.667;0.014;0.283;0.76;0.02
SPY [4.82, 10.51]%;IYR [-0.93, 10.02]%;1.114;0.8;0.01;0.083;0.838;0.013
GOOGL [8.08, 13.90]%;IYR [-0.96, 8.32]%;1.103;0.794;0.023;0.076;0.865;0.029
EWP [1.53, 9.07]%, SHY [-0.56, 1.03]%, INTC [-6.77, 41.48]%, SAP [-6.86, 1.25]%;IYR [-0.96, 9.76]%;1.203;0.869;0.096;0.165;0.625;0.111
AMZN [-22.29, 9.33]%, MSFT [2.69, 13.37]%;IYR [-0.97, 8.64]%;1.162;0.838;0.15;0.143;0.678;0.179
SPY [1.22, 9.31]%;IYR [-0.98, 9.44]%;1.272;0.92;0.265;0.276;0.809;0.288
KO [-1.14, 11.49]%, SAP [-24.59, 22.44]%, AMZN [-16.67, 18.95]%, MSFT [0.29, 13.29]%;IYR [1.00, 16.51]%;1.384;0.513;0.224;0.253;0.496;0.438
GOOGL [6.87, 29.40]%, INTC [0.58, 33.09]%;IYR [1.02, 20.29]%;1.981;0.732;0.026;0.375;0.584;0.035
XOM [-19.19, 18.07]%, SPY [3.60, 4.21]%;IYR [-1.05, 6.72]%;1.179;0.857;0.015;0.133;0.671;0.018
EEM [2.39, 16.29]%;IYR [-1.08, 21.76]%;1.201;0.893;0.184;0.188;0.693;0.206
JPM [-0.34, 15.66]%;IYR [-1.09, 12.40]%;1.139;0.845;0.502;0.254;0.791;0.594
BA [-0.78, 59.46]%, XLK [-11.05, 4.79]%;IYR [-1.09, 12.91]%;1.101;0.816;0.493;0.189;0.605;0.604
XLE [3.73, 11.94]%;IYR [-1.09, 8.85]%;1.106;0.818;0.103;0.09;0.857;0.126
KO [-9.13, 9.46]%, CLX [4.26, 10.00]%;IYR [1.11, 15.63]%;1.531;0.537;0.025;0.195;0.669;0.046
SPY [2.44, 3.63]%, month([2, 5]), MU [-2.95, 41.42]%;IYR [-1.11, 18.29]%;1.342;1.0;0.024;0.261;0.721;0.024
XLK [3.00, 10.32]%;IYR [-1.13, 9.45]%;1.212;0.901;0.108;0.179;0.805;0.12
AMZN [-13.73, 23.50]%, SPY [-0.35, 1.14]%;IYR [-1.15, 10.55]%;1.134;0.85;0.3;0.155;0.729;0.353
GOOGL [-2.48, 11.87]%, SPY [-1.35, 2.68]%, month([6, 8]);IYR [-1.15, 9.47]%;1.186;0.888;0.136;0.164;0.808;0.153
CLX [3.03, 6.37]%;IYR [1.17, 20.51]%;1.612;0.547;0.044;0.226;0.802;0.081
JPM [-6.49, 12.73]%, SAP [1.83, 16.01]%, KO [-4.64, 9.98]%, EEM [2.44, 3.64]%;IYR [-1.23, 6.27]%;1.191;0.891;0.042;0.15;0.772;0.047
CLX [1.59, 2.19]%, TLT [-3.67, 8.32]%, JPM [-6.53, 34.68]%, EWP [2.28, 19.94]%;IYR [1.24, 28.45]%;1.761;0.577;0.013;0.255;0.598;0.022
CPB [-7.73, 20.02]%, month([1, 12]), AAPL [-8.66, 18.41]%, EFX [-3.06, 20.81]%, BA [-39.48, 57.45]%;IYR [1.24, 5.53]%;1.126;0.341;0.288;0.247;0.375;0.846
AMZN [-0.58, 16.42]%, CPB [-3.35, 16.97]%, EFX [-5.49, 20.81]%, SPY [1.36, 17.92]%;IYR [1.27, 10.01]%;2.113;0.671;0.144;0.45;0.609;0.215
KO [-6.92, 8.26]%, MSFT [-1.71, 16.89]%;IYR [1.27, 9.00]%;1.176;0.37;0.285;0.241;0.612;0.77
AMZN [-8.93, 39.68]%, SPY [-1.62, 4.29]%;IYR [-1.28, 10.52]%;1.113;0.848;0.695;0.475;0.628;0.819
CPB [-13.61, 17.89]%, GOOGL [-2.32, 8.54]%, AAPL [-4.35, 5.96]%, DIS [-0.39, 17.30]%;IYR [-1.28, 2.79]%;1.116;0.71;0.287;0.124;0.619;0.404
CPB [-13.61, 17.89]%, GOOGL [-2.32, 8.54]%, AAPL [-4.35, 5.96]%, DIS [-0.39, 17.30]%;IYR [-1.28, 2.79]%;1.116;0.71;0.287;0.124;0.619;0.404
EEM [2.43, 7.85]%, EWP [-19.11, 17.49]%, SPY [-3.42, 10.89]%;IYR [-1.33, 10.71]%;1.165;0.892;0.17;0.156;0.634;0.19
CLX [0.61, 13.45]%, MU [8.24, 41.42]%, BA [-32.25, 75.42]%;IYR [1.39, 10.32]%;2.098;0.618;0.036;0.343;0.564;0.058
AMZN [-22.29, 31.39]%, XLK [-7.78, 15.47]%, XLF [2.97, 31.52]%, XLE [-4.02, 27.88]%;IYR [1.42, 2.74]%;1.105;0.175;0.023;0.019;0.488;0.131
AMZN [-22.29, 31.39]%, XLK [-7.78, 15.47]%, XLF [2.97, 31.52]%, XLE [-4.02, 27.88]%;IYR [1.42, 2.74]%;1.105;0.175;0.023;0.019;0.488;0.131
week_number([736, 830]);IYR [-1.44, 7.35]%;1.128;0.863;0.07;0.106;0.891;0.081
MU [6.06, 18.70]%, SAP [-15.46, 3.08]%, JPM [-19.24, 28.59]%;IYR [-1.45, 19.31]%;1.122;0.871;0.098;0.107;0.637;0.113
SPY [1.44, 3.05]%;IYR [-1.45, 8.51]%;1.244;0.959;0.178;0.231;0.901;0.186
SPY [-0.59, 4.30]%;IYR [-1.46, 6.28]%;1.148;0.877;0.607;0.367;0.873;0.692
KO [-0.53, 7.19]%, SAP [-4.18, 7.00]%, GOOGL [8.53, 29.40]%;IYR [-1.49, 6.11]%;1.25;0.955;0.018;0.195;0.74;0.019
MU [5.64, 40.45]%, SPY [2.22, 4.56]%;IYR [-1.51, 8.18]%;1.271;0.982;0.046;0.22;0.795;0.047
INTC [6.91, 10.90]%;IYR [-1.54, 7.19]%;1.14;0.881;0.032;0.112;0.904;0.036
SPY [3.86, 14.88]%;IYR [-1.56, 10.07]%;1.146;0.897;0.03;0.118;0.76;0.033
NVDA [-23.73, 17.12]%, CLX [-1.18, 6.30]%;IYR [1.57, 17.53]%;1.17;0.313;0.224;0.16;0.654;0.716
SPY [-1.31, 9.98]%;IYR [1.57, 3.52]%;1.18;0.224;0.182;0.182;0.832;0.813
SPY [-1.31, 9.98]%;IYR [1.57, 3.52]%;1.18;0.224;0.182;0.182;0.832;0.813
NVDA [-23.95, 24.12]%, SPY [-1.58, 4.85]%;IYR [-1.58, 6.35]%;1.11;0.86;0.713;0.5;0.674;0.829
SPY [2.59, 15.02]%, month([6, 7]), AAPL [-3.51, 8.83]%;IYR [-1.58, 6.51]%;1.212;0.941;0.014;0.167;0.789;0.015
AMZN [-22.29, 19.50]%, KO [2.95, 6.41]%;IYR [-1.59, 33.08]%;1.152;0.913;0.072;0.131;0.561;0.078
JPM [-0.52, 11.44]%, AMZN [3.73, 6.36]%;IYR [-1.63, 8.34]%;1.191;0.937;0.076;0.163;0.882;0.081
SPY [1.61, 3.12]%, SAP [-11.23, 4.19]%;IYR [-1.68, 21.40]%;1.223;0.978;0.113;0.202;0.766;0.116
XLE [-0.38, 1.49]%;IYR [-1.70, 3.34]%;1.149;0.816;0.196;0.139;0.946;0.241
XLE [-0.38, 1.49]%;IYR [-1.70, 3.34]%;1.149;0.816;0.196;0.139;0.946;0.241
SPY [-0.49, 2.11]%, AMZN [4.43, 16.63]%;IYR [-1.73, 7.95]%;1.109;0.878;0.073;0.094;0.862;0.084
EFX [-12.95, 20.81]%, GOOGL [7.73, 9.64]%, TLT [-6.09, 9.20]%, JPM [-10.86, 8.67]%;IYR [-1.74, 28.64]%;1.162;0.933;0.012;0.132;0.553;0.013
XLV [2.30, 3.02]%, week_number([215, 847]);IYR [1.76, 31.95]%;1.438;0.357;0.013;0.113;0.653;0.036
XLE [0.12, 2.88]%;IYR [-1.76, 4.13]%;1.1;0.818;0.283;0.114;0.932;0.346
XLE [0.12, 2.88]%;IYR [-1.76, 4.13]%;1.1;0.818;0.283;0.114;0.932;0.346
GOOGL [-8.12, 10.55]%, EFX [5.59, 14.64]%, NVDA [-24.41, 29.68]%;IYR [1.79, 27.23]%;2.59;0.636;0.03;0.41;0.566;0.047
AMZN [-13.75, 20.30]%, DIS [2.46, 8.50]%, JPM [-32.47, 3.11]%;IYR [-1.85, 5.37]%;1.14;0.897;0.111;0.125;0.684;0.124
SAP [3.24, 21.19]%;IYR [-1.87, 8.68]%;1.121;0.905;0.154;0.118;0.743;0.171
SPY [3.82, 9.35]%, JPM [-14.24, 20.68]%;IYR [-1.89, 10.55]%;1.165;0.947;0.031;0.139;0.734;0.032
JPM [4.84, 17.98]%, UUP [0.77, 6.24]%, GOOGL [-10.94, 4.58]%;IYR [-1.90, 13.98]%;1.223;1.0;0.012;0.185;0.687;0.012
XLK [0.44, 3.65]%, MU [-21.56, 9.61]%;IYR [-1.91, 17.90]%;1.109;0.908;0.354;0.146;0.745;0.39
GOOGL [-14.06, 16.03]%, SAP [6.14, 13.17]%, XLF [-16.08, 25.00]%, month([2, 11]), DIS [-5.35, 3.22]%;IYR [-1.94, 12.43]%;1.119;0.92;0.02;0.1;0.549;0.021
KO [-16.88, 2.39]%, MSFT [1.45, 15.66]%;IYR [1.95, 8.27]%;1.344;0.284;0.079;0.101;0.618;0.279
WMT [1.53, 8.21]%, GOOGL [-2.62, 1.75]%;IYR [1.96, 23.29]%;1.44;0.316;0.036;0.109;0.793;0.113
BA [-13.13, 36.96]%, XLK [-2.34, 15.47]%, XLF [-18.77, 31.52]%;IYR [1.99, 10.58]%;1.145;0.24;0.208;0.228;0.526;0.866
EEM [-7.68, 23.41]%, UUP [-3.02, 6.10]%, SPY [-0.36, 10.16]%, EWP [-6.40, 19.94]%;IYR [-1.99, 12.14]%;1.129;0.935;0.528;0.245;0.504;0.565
BA [-5.72, 23.73]%, INTC [-7.86, 0.32]%;IYR [-10.07, 1.16]%;1.144;0.743;0.311;0.161;0.825;0.418
AMZN [-9.85, 1.21]%, JPM [-2.60, 21.47]%, NVDA [-34.50, -10.45]%;IYR [-10.13, 0.97]%;1.425;0.867;0.011;0.262;0.75;0.013
SAP [-3.76, 1.14]%, NVDA [-5.88, 6.89]%;IYR [-10.38, 1.18]%;1.165;0.76;0.302;0.179;0.848;0.398
